20:15:51.288 INFO  manager.ApplicationManager - All tests rus in Chrome Browser
20:15:52.708 INFO  manager.ApplicationManager - The link --->https://telranedu.web.app/home
20:15:52.746 INFO  tests.TestBase - Name of method ---> loginSuccess
20:15:52.748 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:15:57.783 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:15:57.784 INFO  tests.TestBase - Start test with name `loginSuccess`
20:15:57.788 INFO  tests.TestBase - Test data ---> email: mara@gmail.com& password: Mmar123456$
20:15:57.789 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:15:57.816 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:15:57.820 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> css selector: a[href='/login']]
20:15:57.886 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> css selector: a[href='/login']]
20:15:57.886 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:15:57.887 INFO  manager.ListenerWD - Before find element: By.name: email
20:15:57.911 INFO  manager.ListenerWD - element found success: By.name: email
20:15:57.911 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> name: email]
20:15:57.958 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> name: email]
20:15:58.119 INFO  manager.HelperBase - type in input with locator By.name("email") 
20:15:58.119 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:15:58.146 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:15:58.146 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> xpath: //input[last()]]
20:15:58.183 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> xpath: //input[last()]]
20:15:58.337 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:15:58.367 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:15:58.368 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> xpath: //button[text()='Login']]
20:15:58.418 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> xpath: //button[text()='Login']]
20:15:58.418 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:15:59.868 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:15:59.872 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:15:59.874 INFO  tests.TestBase - ==========================================
20:15:59.874 INFO  tests.TestBase - Name of method ---> loginSuccess
20:15:59.875 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:15:59.898 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:15:59.898 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:15:59.918 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:15:59.918 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (7fb1098ca4f6977850b96e54953e905a)] -> xpath: //button[text()='Sign Out']]
